energy,intensity,id,type
-0.2,0,11_spectrum_34,aggregate_in_rock
-0.19,0,11_spectrum_34,aggregate_in_rock
-0.18,0,11_spectrum_34,aggregate_in_rock
-0.17,0,11_spectrum_34,aggregate_in_rock
-0.16,0,11_spectrum_34,aggregate_in_rock
-0.15,0,11_spectrum_34,aggregate_in_rock
-0.14,0,11_spectrum_34,aggregate_in_rock
-0.13,0,11_spectrum_34,aggregate_in_rock
-0.12,0,11_spectrum_34,aggregate_in_rock
-0.11,0,11_spectrum_34,aggregate_in_rock
-0.1,0,11_spectrum_34,aggregate_in_rock
-0.09,0,11_spectrum_34,aggregate_in_rock
-0.08,0,11_spectrum_34,aggregate_in_rock
-0.07,1,11_spectrum_34,aggregate_in_rock
-0.06,3,11_spectrum_34,aggregate_in_rock
-0.05,9,11_spectrum_34,aggregate_in_rock
-0.04,21,11_spectrum_34,aggregate_in_rock
-0.03,56,11_spectrum_34,aggregate_in_rock
-0.02,112,11_spectrum_34,aggregate_in_rock
-0.01,168,11_spectrum_34,aggregate_in_rock
0,234,11_spectrum_34,aggregate_in_rock
0.01,312,11_spectrum_34,aggregate_in_rock
0.02,348,11_spectrum_34,aggregate_in_rock
0.03,355,11_spectrum_34,aggregate_in_rock
0.04,309,11_spectrum_34,aggregate_in_rock
0.05,244,11_spectrum_34,aggregate_in_rock
0.06,173,11_spectrum_34,aggregate_in_rock
0.07,125,11_spectrum_34,aggregate_in_rock
0.08,78,11_spectrum_34,aggregate_in_rock
0.09,61,11_spectrum_34,aggregate_in_rock
0.1,60,11_spectrum_34,aggregate_in_rock
0.11,82,11_spectrum_34,aggregate_in_rock
0.12,85,11_spectrum_34,aggregate_in_rock
0.13,83,11_spectrum_34,aggregate_in_rock
0.14,90,11_spectrum_34,aggregate_in_rock
0.15,109,11_spectrum_34,aggregate_in_rock
0.16,141,11_spectrum_34,aggregate_in_rock
0.17,173,11_spectrum_34,aggregate_in_rock
0.18,205,11_spectrum_34,aggregate_in_rock
0.19,305,11_spectrum_34,aggregate_in_rock
0.2,507,11_spectrum_34,aggregate_in_rock
0.21,952,11_spectrum_34,aggregate_in_rock
0.22,1629,11_spectrum_34,aggregate_in_rock
0.23,2684,11_spectrum_34,aggregate_in_rock
0.24,4071,11_spectrum_34,aggregate_in_rock
0.25,5513,11_spectrum_34,aggregate_in_rock
0.26,6473,11_spectrum_34,aggregate_in_rock
0.27,6842,11_spectrum_34,aggregate_in_rock
0.28,6266,11_spectrum_34,aggregate_in_rock
0.29,5058,11_spectrum_34,aggregate_in_rock
0.3,3569,11_spectrum_34,aggregate_in_rock
0.31,2184,11_spectrum_34,aggregate_in_rock
0.32,1216,11_spectrum_34,aggregate_in_rock
0.33,654,11_spectrum_34,aggregate_in_rock
0.34,322,11_spectrum_34,aggregate_in_rock
0.35,182,11_spectrum_34,aggregate_in_rock
0.36,152,11_spectrum_34,aggregate_in_rock
0.37,147,11_spectrum_34,aggregate_in_rock
0.38,138,11_spectrum_34,aggregate_in_rock
0.39,157,11_spectrum_34,aggregate_in_rock
0.4,160,11_spectrum_34,aggregate_in_rock
0.41,149,11_spectrum_34,aggregate_in_rock
0.42,153,11_spectrum_34,aggregate_in_rock
0.43,156,11_spectrum_34,aggregate_in_rock
0.44,181,11_spectrum_34,aggregate_in_rock
0.45,170,11_spectrum_34,aggregate_in_rock
0.46,167,11_spectrum_34,aggregate_in_rock
0.47,196,11_spectrum_34,aggregate_in_rock
0.48,164,11_spectrum_34,aggregate_in_rock
0.49,176,11_spectrum_34,aggregate_in_rock
0.5,185,11_spectrum_34,aggregate_in_rock
0.51,195,11_spectrum_34,aggregate_in_rock
0.52,179,11_spectrum_34,aggregate_in_rock
0.53,133,11_spectrum_34,aggregate_in_rock
0.54,156,11_spectrum_34,aggregate_in_rock
0.55,156,11_spectrum_34,aggregate_in_rock
0.56,134,11_spectrum_34,aggregate_in_rock
0.57,175,11_spectrum_34,aggregate_in_rock
0.58,144,11_spectrum_34,aggregate_in_rock
0.59,161,11_spectrum_34,aggregate_in_rock
0.6,151,11_spectrum_34,aggregate_in_rock
0.61,96,11_spectrum_34,aggregate_in_rock
0.62,78,11_spectrum_34,aggregate_in_rock
0.63,71,11_spectrum_34,aggregate_in_rock
0.64,79,11_spectrum_34,aggregate_in_rock
0.65,85,11_spectrum_34,aggregate_in_rock
0.66,77,11_spectrum_34,aggregate_in_rock
0.67,86,11_spectrum_34,aggregate_in_rock
0.68,97,11_spectrum_34,aggregate_in_rock
0.69,106,11_spectrum_34,aggregate_in_rock
0.7,116,11_spectrum_34,aggregate_in_rock
0.71,118,11_spectrum_34,aggregate_in_rock
0.72,117,11_spectrum_34,aggregate_in_rock
0.73,141,11_spectrum_34,aggregate_in_rock
0.74,135,11_spectrum_34,aggregate_in_rock
0.75,130,11_spectrum_34,aggregate_in_rock
0.76,149,11_spectrum_34,aggregate_in_rock
0.77,148,11_spectrum_34,aggregate_in_rock
0.78,155,11_spectrum_34,aggregate_in_rock
0.79,158,11_spectrum_34,aggregate_in_rock
0.8,147,11_spectrum_34,aggregate_in_rock
0.81,149,11_spectrum_34,aggregate_in_rock
0.82,153,11_spectrum_34,aggregate_in_rock
0.83,152,11_spectrum_34,aggregate_in_rock
0.84,150,11_spectrum_34,aggregate_in_rock
0.85,147,11_spectrum_34,aggregate_in_rock
0.86,162,11_spectrum_34,aggregate_in_rock
0.87,160,11_spectrum_34,aggregate_in_rock
0.88,158,11_spectrum_34,aggregate_in_rock
0.89,169,11_spectrum_34,aggregate_in_rock
0.9,170,11_spectrum_34,aggregate_in_rock
0.91,185,11_spectrum_34,aggregate_in_rock
0.92,167,11_spectrum_34,aggregate_in_rock
0.93,187,11_spectrum_34,aggregate_in_rock
0.94,192,11_spectrum_34,aggregate_in_rock
0.95,207,11_spectrum_34,aggregate_in_rock
0.96,188,11_spectrum_34,aggregate_in_rock
0.97,205,11_spectrum_34,aggregate_in_rock
0.98,227,11_spectrum_34,aggregate_in_rock
0.99,233,11_spectrum_34,aggregate_in_rock
1,276,11_spectrum_34,aggregate_in_rock
1.01,328,11_spectrum_34,aggregate_in_rock
1.02,322,11_spectrum_34,aggregate_in_rock
1.03,318,11_spectrum_34,aggregate_in_rock
1.04,367,11_spectrum_34,aggregate_in_rock
1.05,371,11_spectrum_34,aggregate_in_rock
1.06,349,11_spectrum_34,aggregate_in_rock
1.07,328,11_spectrum_34,aggregate_in_rock
1.08,304,11_spectrum_34,aggregate_in_rock
1.09,283,11_spectrum_34,aggregate_in_rock
1.1,272,11_spectrum_34,aggregate_in_rock
1.11,266,11_spectrum_34,aggregate_in_rock
1.12,260,11_spectrum_34,aggregate_in_rock
1.13,257,11_spectrum_34,aggregate_in_rock
1.14,256,11_spectrum_34,aggregate_in_rock
1.15,267,11_spectrum_34,aggregate_in_rock
1.16,271,11_spectrum_34,aggregate_in_rock
