ID,phase_original,phase,replicate,d13C_carb,d18O_carb,d13C_carb_sd,d18O_carb_sd,Source
﻿100-110,Micrite,Micrite,,-34.93,-10.31,,,Loyd et al. (2016)
130-140,Micrite,Micrite,,-37.75,-10,,,Loyd et al. (2016)
190-200,Micrite,Micrite,,-35.03,-10.64,,,Loyd et al. (2016)
20-30,Micrite,Micrite,,-36.4,-10.39,,,Loyd et al. (2016)
230-240,Micrite,Micrite,,-36.47,-7.97,,,Loyd et al. (2016)
250-260,Micrite,Micrite,,-35.41,-11.16,,,Loyd et al. (2016)
310-320,Micrite,Micrite,,-41.35,-11.07,,,Loyd et al. (2016)
320-2h,Micrite,Micrite,,-41.05,-0.89,,,Loyd et al. (2016)
360-370,Micrite,Micrite,,-43.28,-11.09,,,Loyd et al. (2016)
40-50,Micrite,Micrite,,-38.01,-9.6,,,Loyd et al. (2016)
65-70,Micrite,Micrite,,-38.16,-11.33,,,Loyd et al. (2016)
star 230-240,Micrite,Micrite,,-27.37,-11.1,,,Loyd et al. (2016)
teepee hrm 210-220 ,Micrite,Micrite,,-40.35,-9.8,,,Loyd et al. (2016)
teepee hrm 400-40,Micrite,Micrite,,-30.52,-11.17,,,Loyd et al. (2016)
100-110fc,Fibrous cement,Fibrous cement,,-41.22,-8.6,,,Loyd et al. (2016)
190-200fc,Fibrous cement,Fibrous cement,,-45.21,-7.57,,,Loyd et al. (2016)
210-220fc,Fibrous cement,Fibrous cement,,-45.21,-6.28,,,Loyd et al. (2016)
460-470fc,Fibrous cement,Fibrous cement,,-43.29,-8.09,,,Loyd et al. (2016)
711.5 VI S 2,Equant spar,Equant cement,,-14.31,-12.09,,,Loyd et al. (2016)
320-2 PS,Peloidal sparite,Biopelmicrite,,-44.75,-0.3,,,Loyd et al. (2016)
704.5 1 PS,Peloidal sparite,Biopelmicrite,,-44.11,-1.5,,,Loyd et al. (2016)
711 WI PS,Peloidal sparite,Biopelmicrite,,-37.01,-4.12,,,Loyd et al. (2016)
711.5 VI PS 2,Peloidal sparite,Biopelmicrite,,-44.76,-1.04,,,Loyd et al. (2016)
711.5 VI PS1,Peloidal sparite,Biopelmicrite,,-45.16,-1.55,,,Loyd et al. (2016)
HRS 674.6 PS,Peloidal sparite,Biopelmicrite,,-35.16,-3.58,,,Loyd et al. (2016)
a_1,micrite,Micrite,,-49.653,-1.048,,,Birgel et al. (2006)
a_2,micrite,Micrite,,-49.661,-1.117,,,Birgel et al. (2006)
a_3,micrite,Micrite,,-48.493,-1.085,,,Birgel et al. (2006)
a_4,micrite,Micrite,,-48.568,-1.119,,,Birgel et al. (2006)
a_5,micrite,Micrite,,-46.61,-1.186,,,Birgel et al. (2006)
a_6,micrite,Micrite,,-46.568,-1.261,,,Birgel et al. (2006)
a_7,micrite,Micrite,,-43.108,-0.346,,,Birgel et al. (2006)
a_8,micrite,Micrite,,-45.339,-0.684,,,Birgel et al. (2006)
b_1,banded/botryoidal cement,Botryoidal cement,,-40.461,-3.566,,,Birgel et al. (2006)
b_2,banded/botryoidal cement,Botryoidal cement,,-45.445,-1.779,,,Birgel et al. (2006)
b_3,banded/botryoidal cement,Botryoidal cement,,-42.315,-3.45,,,Birgel et al. (2006)
b_4,banded/botryoidal cement,Botryoidal cement,,-40.395,-3.67,,,Birgel et al. (2006)
b_5,banded/botryoidal cement,Botryoidal cement,,-22.077,-7.415,,,Birgel et al. (2006)
b_6,banded/botryoidal cement,Botryoidal cement,,-38.617,-3.911,,,Birgel et al. (2006)
b_7,banded/botryoidal cement,Botryoidal cement,,-13.239,-6.665,,,Birgel et al. (2006)
b_8,banded/botryoidal cement,Botryoidal cement,,-35.693,-5.459,,,Birgel et al. (2006)
b_9,banded/botryoidal cement,Botryoidal cement,,-36.476,-4.761,,,Birgel et al. (2006)
b_10,banded/botryoidal cement,Botryoidal cement,,-25.331,-6.01,,,Birgel et al. (2006)
b_11,banded/botryoidal cement,Botryoidal cement,,-40.301,-3.079,,,Birgel et al. (2006)
b_12,banded/botryoidal cement,Botryoidal cement,,-44.31,-2.6,,,Birgel et al. (2006)
b_13,banded/botryoidal cement,Botryoidal cement,,-44.249,-2.535,,,Birgel et al. (2006)
c_1,ferroan calcite,Ferroan equant cement,,-28.979,-9.876,,,Birgel et al. (2006)
c_2,ferroan calcite,Ferroan equant cement,,-17.533,-9.889,,,Birgel et al. (2006)
c_3,ferroan calcite,Ferroan equant cement,,-20.205,-11.352,,,Birgel et al. (2006)
d_1,yellow calcite,Yellow calcite,,-36.07,-3.406,,,Birgel et al. (2006)
