ID_1,ID_extra,ID_2,ID_3,plot_category,d13c,2sd_d13c,sd_d13c,pyr,aggregates,phase,locality,date,category,extracted,instrument
br18,,bpyr,Ancient seep carbonate,Ancient seep carbonate,-13.82603449,2.398260466,1.199130233,y,n,Spar,Tepee Buttes,2019_03,Organic matter,,
br18,,c,Ancient seep carbonate,Ancient seep carbonate,-39.5064012,1.053275895,0.526637948,n,n,Peloidal micrite,Tepee Buttes,2019_03,Organic matter,,
br18,,l,Ancient seep carbonate,Ancient seep carbonate,-34.16710418,1.283999784,0.641999892,n,n,Peloidal micrite,Tepee Buttes,2019_03,Organic matter,,
br18,,z,Ancient seep carbonate,Ancient seep carbonate,-45.5013931,1.302631139,0.65131557,n,n,Micrite,Tepee Buttes,2019_03,Organic matter,,
br18,,j,Ancient seep carbonate,Ancient seep carbonate,-39.46705712,3.475704897,1.737852449,n,n,Peloidal micrite,Tepee Buttes,2019_03,Organic matter,,
br18,,k,Ancient seep carbonate,Ancient seep carbonate,-42.89801625,1.865273665,0.932636833,n,n,Micrite,Tepee Buttes,2019_03,Organic matter,,
br18,,a,Ancient seep carbonate,Ancient seep carbonate,-31.4830016,1.658990395,0.829495198,n,n,Spar,Tepee Buttes,2019_03,Organic matter,,
br18,,hpyr,Ancient seep carbonate,Ancient seep carbonate,-54.29003464,2.312720856,1.156360428,y,n,Micrite,Tepee Buttes,2019_03,Organic matter,,
br18,,w,Ancient seep carbonate,Ancient seep carbonate,-49.28288885,0.693914221,0.346957111,n,n,Peloidal micrite,Tepee Buttes,2019_03,Organic matter,,
br18,,v,Ancient seep carbonate,Ancient seep carbonate,-61.71637751,4.975672985,2.487836493,n,n,Micrite,Tepee Buttes,2019_03,Organic matter,,
br18,,i,Ancient seep carbonate,Ancient seep carbonate,-55.46709397,2.241338921,1.120669461,n,n,Peloidal micrite,Tepee Buttes,2019_03,Organic matter,,
br18,,h,Ancient seep carbonate,Ancient seep carbonate,-58.26089388,1.698020152,0.849010076,n,n,Micrite,Tepee Buttes,2019_03,Organic matter,,
br18,,epyr,Ancient seep carbonate,Ancient seep carbonate,-56.90993788,2.506453071,1.253226536,y,n,Micrite,Tepee Buttes,2019_03,Organic matter,,
br11,,3,Ancient seep carbonate,Ancient seep carbonate,-42.15465568,0.551578769,0.275789385,n,n,Micrite,Tepee Buttes,2019_03,Organic matter,,
