Raman_shift,Intensity,Sample,Location,Age,Orgs,Type
2433.757813,0,BC4_3,Bear Creek,Eocene,Yes,Ancient
2432.185547,-1379.78894,BC4_3,Bear Creek,Eocene,Yes,Ancient
2430.615234,10.909881,BC4_3,Bear Creek,Eocene,Yes,Ancient
2429.042969,3055.217041,BC4_3,Bear Creek,Eocene,Yes,Ancient
2427.470703,1944.392578,BC4_3,Bear Creek,Eocene,Yes,Ancient
2425.898438,2453.322754,BC4_3,Bear Creek,Eocene,Yes,Ancient
2424.324219,2930.80835,BC4_3,Bear Creek,Eocene,Yes,Ancient
2422.751953,1115.970825,BC4_3,Bear Creek,Eocene,Yes,Ancient
2421.177734,-1817.368286,BC4_3,Bear Creek,Eocene,Yes,Ancient
2419.603516,-5845.657227,BC4_3,Bear Creek,Eocene,Yes,Ancient
2418.029297,44.693497,BC4_3,Bear Creek,Eocene,Yes,Ancient
2416.455078,3319.604736,BC4_3,Bear Creek,Eocene,Yes,Ancient
2414.878906,-366.428986,BC4_3,Bear Creek,Eocene,Yes,Ancient
2413.304688,3318.11084,BC4_3,Bear Creek,Eocene,Yes,Ancient
2411.728516,2569.562744,BC4_3,Bear Creek,Eocene,Yes,Ancient
2410.152344,-3276.514893,BC4_3,Bear Creek,Eocene,Yes,Ancient
2408.576172,3260.123291,BC4_3,Bear Creek,Eocene,Yes,Ancient
2407,3592.696777,BC4_3,Bear Creek,Eocene,Yes,Ancient
2405.421875,2842.382568,BC4_3,Bear Creek,Eocene,Yes,Ancient
2403.845703,-536.011841,BC4_3,Bear Creek,Eocene,Yes,Ancient
2402.267578,36.102512,BC4_3,Bear Creek,Eocene,Yes,Ancient
2400.689453,-137.666321,BC4_3,Bear Creek,Eocene,Yes,Ancient
2399.111328,-2154.055908,BC4_3,Bear Creek,Eocene,Yes,Ancient
2397.53125,-2803.061768,BC4_3,Bear Creek,Eocene,Yes,Ancient
2395.953125,-1910.336914,BC4_3,Bear Creek,Eocene,Yes,Ancient
2394.373047,-2006.220215,BC4_3,Bear Creek,Eocene,Yes,Ancient
